名称,简介,药性,功效,适应症
野山参,,味甘，性温,抗疲劳、提高免疫力、调血压、血糖、降血脂、保护心肌、护肝排毒。,冠心病、心绞痛、心肌缺血、高血脂症、血栓症、动脉硬化
生晒参,：生晒参 是把鲜参清洗干净后，用烘干设备，烘干的人参。,味先苦后甘，性温。,大补元气，补脾益肺，生津止渴，安神增智。,自汗眩晕、头痛反胃，阂症、滑泻久痢、内伤中风、中暑痹瘘、胎前产后诸病。…
山药蛋,山药蛋，山药的叶腋间常生有肾形或卵圆形的珠芽。,味甘、性平。,：补肺益气，益心安神，强志增智，轻身延年。,健脾补虚，固肾益精，滋润血脉，宁嗽定喘。…
藤三七,藤三七，又称洋落葵，属于落葵科多年蔓生植物，原产于巴西，在中国很多地区均有种植。,味微苦，性温。,能够滋补、壮腰膝、消散痰、活血、健胃保肝，促进骨骼生长。,主治腰膝痹痛，病后体弱，跌打损伤，骨折。页用于高血压，头昏、目眩、耳鸣，急性咽喉炎。
雪莲果,别名缅甸天山雪莲果，雪莲果原产自南美洲的安第斯山脉，果肉吃起来，但其碳水化合物却并不为人体吸收，因此，很适合糖尿病人及减肥者食用。,寒。,除寒，壮阳，调经，止血。 治阳痿，腰膝软弱，妇女崩带，月经不调，风湿性关节炎，外伤出血。,雪莲果富含人体所需的20多种氨基酸及多种维生素、矿物质、特别是寡糖含量最高，能促进有益微生物的生长。性大寒，肠胃不好者慎雪莲果…
榴莲,热带著名水果之一，原产马来西亚。东南亚一些国家种植较多， 其中以泰国最多。,辛、甘，热。入肝、肾、肺三经。,滋阴强壮、疏风清热、利胆退黄、杀虫止痒、补身体。榴莲有特殊的气味，不同的人感受不同，有的人认为其臭如猫屎，有的人认为香气馥郁。榴莲的这种气味有开胃、促进食欲之功效，其中的膳食纤维能促进肠蠕动。,滋润养阴，温和补肾。可用于精血亏虚须发早白、衰老、风热、黄疸、疥癣、皮肤瘙痒等症…
炙黄芪,炙黄芪，圆形或椭圆形的片，外表皮浅棕黄或棕褐色，略有光泽，可见纵皱纹或纵沟。,味甘，性温。,益气补中。,用于气虚乏力，食少便溏。…
橄榄菜,橄榄菜为汉族风味小菜，属于粤菜系。,性平，味甘、酸涩。,清热，利咽，生津，解毒。,咽喉肿痛、咳嗽、烦渴、鱼蟹中毒。…
生甘草,生甘草，别名美草、密甘，甘草是一种补益中草药。药用部位是根及根茎。,味甘，性平。,有补中益气、清热解毒、祛痰止咳、缓急止痛、调和药性的作用。,用于脾胃虚弱，倦怠乏力，心悸气短，咳嗽痰多，脘腹、四肢挛急疼痛，痈肿疮毒等症。
红酒,红酒是葡萄酒的通称，并不一定特指红葡萄酒。红酒有许多分类方式。以成品颜色来说，可分为红葡萄酒、白葡萄酒及粉红葡萄酒三类。,葡萄皮中含有抗氧化物质多酚，在制成红酒之后，还有大量的多酚保存在红酒中。而多酚对于降低心血管疾病发生几率，预防动脉硬化都具有很明显的疗效。而预防动脉硬化是预防脑中风、心脏病的根本。,红葡萄酒中的萃取物，可控制皮肤的老化—在植物界中常出现的强力抗损坏物质，在红葡萄酒中就含有。并且存在10种以上的成分，特别是所含有生成红色素的成分，能防止损坏活性氧气，功效非常明显…,
核桃,核桃，又称胡桃，羌桃，为胡桃科植物。与扁桃、腰果、榛子并称为世界著名的“四大干果”。,味甘、性平，温，无毒。,核桃仁具有滋补肝肾、强筋健骨之功效，可用于治疗由于肝肾亏虚引起的症状，如腰腿酸软、筋骨疼痛、牙齿松动、须发早白、虚劳咳嗽、小便清冷、妇女月经和白带过多。,核桃具有多种不饱和与单一非饱和脂肪酸，能降低胆固醇含量。因此吃核核桃对人的心脏有一定的好处。肺炎、支气管扩张等患者不宜食之…
