链接,文本内容
http://www.cnkang.com/yaopin/xy/zssj/zssj/200705/94189.html,"您的位置：
中华康网
>>
中枢兴奋药
>> 氯酚待因
氯酚待因
www.cnkang.com
2007-5-31  药网通
药物名称： 氯酚待因
药物别名：
英文名称： DiclofenabcandCodeine
说　　明： 片剂：每片含磷酸可待因15mg与双氯芬酸钠25mg。
功用作用： 中度疼痛，如手术后疼痛、中晚期疼痛、神经痛、骨病疼痛等。
用法用量： 口服，成人1片～2片/次，3次/日。儿童每日按体重3.5mg～6mg/kg（每片按40mg计算）。
注意事项： 注意消化道溃疡、肾损害或成瘾性的发生。
相关阅读
美施康定
硫酸吗啡控释片
硫酸四氢帕马丁
硫酸吗啡控释片
托吡酯"
http://www.cnkang.com/yaopin/xy/zssj/zssj/200705/94184.html,"您的位置：
中华康网
>>
中枢兴奋药
>> 美施康定
美施康定
www.cnkang.com
2007-5-31  药网通
药物名称： 美施康定
药物别名： 硫酸吗啡控释片
英文名称： morphine sulfate
说　　明： 10MG×10片/盒。
功用作用： 硫酸吗啡控释片为强效中枢性镇痛药，作用时间可持续12 hr。本药对呼吸有抑制作用，可引起恶心、呕吐、便秘及排尿困难，长期应用可产生耐受性、身体依赖性和成瘾性。主要用于晚期
癌症
患者第三阶梯止痛。
用法用量： 成人 最初应用本药者，宜从每12 hr服用10 mg-20 mg开始，视止痛效果调整剂量，以达到缓解疼痛目的。必须完整吞服、切勿嚼碎。正在服用弱阿片类药物或已服过阿片类药物的患者，可从每12 hr服用30 mg开始，必要时可增加到每12 hr 60 mg。若还需更高剂量时，则可根据具体情况增加25%～50%。
对身体虚弱或体重轻于标准的患者，初始剂量应适当减少。老人适当减量。患者如由服用本药改为其它缓释或控剂型吗啡制剂时，必须重新调整剂量。
注意事项： 遮光、密闭、在25°C以下保存。颅内压增高者慎用。老年患者、甲状腺机能减退者、肾病及慢性肝病者可适当减量。下列情况禁用：呼吸抑制、瘫痪病人肠胃绞痛、胃排空迟缓、呼吸道阻塞性疾病、肺原性心脏病患者；对吗啡过敏、急性肝炎或肝功能严重障碍，单胺氧化酶使用期间或停用不到2周的患者；孕妇、产妇及哺乳期妇女；麻痹性肠胃绞痛、原因不明的“急腹症”患者及颅脑损伤患者。本品不适用于儿童。
相关阅读
氯酚待因
硫酸吗啡控释片
硫酸四氢帕马丁
硫酸吗啡控释片
托吡酯"
http://www.cnkang.com/yaopin/xy/zssj/zssj/200705/94179.html,"您的位置：
中华康网
>>
中枢兴奋药
>> 硫酸吗啡控释片
硫酸吗啡控释片
www.cnkang.com
2007-5-31  药网通
药物别名： 硫酸吗啡控释片
英文名称： morphine sulfate
说　　明： 10MG×10片/盒。
功用作用： 硫酸吗啡控释片为强效中枢性镇痛药，作用时间可持续12 hr。本药对呼吸有抑制作用，可引起恶心、呕吐、便秘及排尿困难，长期应用可产生耐受性、身体依赖性和成瘾性。主要用于晚期
癌症
患者第三阶梯止痛。
用法用量： 成人 最初应用本药者，宜从每12 hr服用10 mg-20 mg开始，视止痛效果调整剂量，以达到缓解疼痛目的。必须完整吞服、切勿嚼碎。正在服用弱阿片类药物或已服过阿片类药物的患者，可从每12 hr服用30 mg开始，必要时可增加到每12 hr 60 mg。若还需更高剂量时，则可根据具体情况增加25%～50%。
对身体虚弱或体重轻于标准的患者，初始剂量应适当减少。老人适当减量。患者如由服用本药改为其它缓释或控剂型吗啡制剂时，必须重新调整剂量。
注意事项： 遮光、密闭、在25°C以下保存。颅内压增高者慎用。老年患者、甲状腺机能减退者、肾病及慢性肝病者可适当减量。下列情况禁用：呼吸抑制、瘫痪病人肠胃绞痛、胃排空迟缓、呼吸道阻塞性疾病、肺原性心脏病患者；对吗啡过敏、急性肝炎或肝功能严重障碍，单胺氧化酶使用期间或停用不到2周的患者；孕妇、产妇及哺乳期妇女；麻痹性肠胃绞痛、原因不明的“急腹症”患者及颅脑损伤患者。本品不适用于儿童。
相关阅读
氯酚待因
美施康定
硫酸四氢帕马丁
硫酸吗啡控释片
托吡酯"
http://www.cnkang.com/yaopin/xy/zssj/zssj/200705/94175.html,"您的位置：
中华康网
>>
中枢兴奋药
>> 硫酸四氢帕马丁
硫酸四氢帕马丁
www.cnkang.com
2007-5-31  药网通
药物名称： 硫酸四氢帕马丁
药物别名：
英文名称： Tetrahydropalmatine Sulfate
说　　明： 片剂：50mg。注射液：2ml：60mg、2ml：100mg。
功用作用： 消化系统疾病引起的内脏疼痛和一般的头痛、痛经、分娩疼痛及疼痛失眠。
用法用量： 口服，止痛50mg～150mg/次，3次/日；催眠于睡前20～30min服100mg～200mg。皮下注射，60mg～100mg/次，2次～4次/日。
相关阅读
氯酚待因
美施康定
硫酸吗啡控释片
硫酸吗啡控释片
托吡酯"
http://www.cnkang.com/yaopin/xy/zssj/zssj/200705/94173.html,"您的位置：
中华康网
>>
中枢兴奋药
>> 硫酸吗啡控释片
硫酸吗啡控释片
www.cnkang.com
2007-5-31  药网通
药物名称： 硫酸吗啡控释片
药物别名： 美施康定，硫酸吗啡、路泰 Tabellae Morphin Sulfatis Modeste liberantes
英文名称： morphine sulfate
说　　明： 缓释片：10 mg药片为浅棕色，30 mg为紫色，60 mg为桔红色双凸薄膜衣片，内含适量供药物在体内缓慢    释放的阻滞剂。
功用作用： 硫酸吗啡控释片为强效中枢性镇痛药，作用时间可持续12 hr。本药对呼吸有抑制作用，可引起恶心、呕吐、便秘及排尿困难，长期应用可产生耐受性、身体依赖性和成瘾性。 主要用于晚期
癌症
患者第三阶梯止痛。
用法用量： 成人 最初应用本药者，宜从每12 hr服用10 mg-20 mg开始，视止痛效果调整剂量，以达到缓解疼痛目的。必须完整吞服、切勿嚼碎。正在服用弱阿片类药物或已服过阿片类药物的患者，可从每12 hr服用30 mg开始，必要时可增加到每12 hr 60 mg。
若还需更高剂量时，则可根据具体情况增加25%～50%。对身体虚弱或体重轻于标准的患者，初始剂量应适当减少。老人适当减量。患者如由服用本药改为其它缓释或控剂型吗啡制剂时，必须重新调整剂量。
注意事项： 颅内压增高者慎用。老年患者、甲状腺机能减退者、肾病及慢性肝病者可适当减量。下列情况禁用：呼吸抑制、瘫痪病人肠胃绞痛、胃排空迟缓、呼吸道阻塞性疾病、肺原性心脏病患者；对吗啡过敏、急性肝炎或肝功能严重障碍，单胺氧化酶使用期间或停用不到2周的患者；孕妇、产妇及哺乳期妇女；麻痹性肠胃绞痛、原因不明的“急腹症”患者及颅脑损伤患者。本品不适用于儿童。
相关阅读
氯酚待因
美施康定
硫酸吗啡控释片
硫酸四氢帕马丁
托吡酯"
http://www.cnkang.com/yaopin/xy/zssj/zssj/200704/86803.html,"您的位置：
中华康网
>>
中枢兴奋药
>> 枸橼酸芬太尼
枸橼酸芬太尼
www.cnkang.com
2007-4-24  中华康网
药物别名：
英文名称： Fentanyl Citrate
说　　明： 注射液：1ml：0.05mg、2ml：0.1mg（均以芬太尼计）。
功用作用： 麻醉前、中、后的镇静和镇痛，是目前复合全麻中常用的药物。
用法用量： 静脉注射，成人全麻初量按体重以芬太尼计分别为：小手术0.001mg～0.002mg/kg，大手术0.002mg～0.004mg/kg，体外循环心脏手术时0.02mg～0.05mg/kg，全麻吸入氧化亚氮时0.01mg～0.02mg/kg，作为局麻镇痛不全的辅助用药0.0015mg～0.002mg/kg。
肌内注射或静脉注射，成人麻醉前用药或术后镇痛按体重0.0007mg～0.0015mg/kg。硬膜外给药，成人手术后镇痛初量0.1mg（加生理盐水稀释到8ml），每2h～4h可重复，维持量每次为初量的一半。2岁～12岁儿童镇痛，按体重0.002mg～0.003mg/kg。
注意事项： 妊娠C类。不宜与单胺氧化酶抑制剂合用，禁用于支气管哮喘、呼吸抑制和重症肌无力病人。药液有一定的刺激性，不得误入气管、支气管与粘膜接触，也不得涂敷于皮肤和粘膜。本品非静脉全麻药，常伴术中知晓。
相关阅读
氯酚待因
美施康定
硫酸吗啡控释片
硫酸四氢帕马丁
硫酸吗啡控释片"
http://www.cnkang.com/yaopin/xy/zssj/zssj/200704/86801.html,"您的位置：
中华康网
>>
中枢兴奋药
>> 芬太尼透皮帖剂
芬太尼透皮帖剂
www.cnkang.com
2007-4-24  中华康网
药物别名： 多瑞吉 Durogesic
英文名称： Fentanyl Transdermal System
说　　明： 贴剂 每贴2.5mg(芬太尼)，25μg/h，10cm2，5贴/盒。
功用作用： 本品为可持续72h释放阿片类止痛剂芬太尼的透明贴剂，主要治疗作用为止痛和镇静。多瑞吉在72h的应用期间可持续地、系统地释放芬太尼，芬太尼的血清浓度与贴剂大小成正比，在首次使用后的24～72h内达峰值。用于
癌症
止痛治疗。 止痛和镇静 .
用法用量： 应在躯干或上臂非刺激及非辐射的平整、干燥部位使用，用前用手掌用力按压30秒，更换时，选择另一部位。
未使用过阿片类药物的患者应以最低剂量25μg/h为起始剂量。对于阿片类药物耐受的患者，可根据口服或肠外给药量转换成多瑞吉（具体推荐剂量详见说明书）。每72h应更换一次本贴剂，剂量应根据个体情况逐渐增加直至达到止痛效果。
注意事项： （1）芬太尼过量可出现呼吸抑制。可使用特异性阿片类药物拮抗剂如钠络酮解救。（2）重复使用阿片类药物后可能会出现耐受和机体及心理依赖。（3）颅内压升高者、心脏病患者、肝肾疾病患者及发烧病人应慎用，必要时需减量。（4）儿童、孕妇及哺乳妇女不推荐使用本品。（5）避免直接与发热原接触，如电热毯、烤灯、强烈日光浴等。（6）可能会影响从事驾车或操纵机器等具有潜在危险工作所需的脑力和/或体力。
相关阅读
氯酚待因
美施康定
硫酸吗啡控释片
硫酸四氢帕马丁
硫酸吗啡控释片"
http://www.cnkang.com/yaopin/xy/zssj/zssj/200704/86799.html,"您的位置：
中华康网
>>
中枢兴奋药
>> 达宁
达宁
www.cnkang.com
2007-4-24  中华康网
药物别名： 丙氧氨酚
英文名称： Propooxyphene Napsylate and Paracota-mol Tablet
说　　明： 片剂：每片含无水萘磺酸右丙氧芬50mg，对乙酰氨基酚250mg。
功用作用： 本品具有中等程度的镇痛效应，对行为和自发活动无明显影响。毒理学研究表明，小鼠经口灌药LD50分别>1.0～3.0g／kg，均无明显毒性。按中国、美国、前苏联有关毒物毒性标准，本品属低毒药品。
术后疼痛、骨关节痛、牙痛、神经性疼痛、血管性头痛等；也可缓解中、轻度
肿瘤
性疼痛，但不宜长期持续服用。
用法用量： 口服：成人每次1～2片，每日3～4次，餐后服，儿童酌减或遵医嘱。7岁以下儿童不宜使用。
注意事项： （1）少数病人可出现消化道反应，如恶心、呕吐、上腹部不适；偶有头晕、嗜睡、便秘、食欲减退、口干、无力；（2）对呼吸有抑制作用，头颅损伤、急性乙醇中毒、急性哮喘发作者禁用；（3）肝、肾、肾上腺功能不全和妊娠、甲状腺功能减退者慎用。
相关阅读
氯酚待因
美施康定
硫酸吗啡控释片
硫酸四氢帕马丁
硫酸吗啡控释片"
http://www.cnkang.com/yaopin/xy/zssj/zssj/200704/86797.html,"您的位置：
中华康网
>>
中枢兴奋药
>> 氨咖甘
氨咖甘
www.cnkang.com
2007-4-24  中华康网
药物别名： 方舟脑宁片
英文名称：
说　　明： 0.32g/片。
功用作用： 氨基比林针对引起头痛的各种发病机制，通过抑制前列腺素的合成等一系列作用，解除和降低致痛因子的活性，从而达到缓解头痛、神经痛的作用。亦可通过对下丘脑体温调节中枢的调节，达到解热作用。
咖啡因和氨基比林协同作用，能增强镇痛效果，本品中小剂量咖啡因还可以增强大脑皮层的兴奋过程，振奋精神，有效的改善因头痛、神经痛而引起的疲劳不适、精神不振等症状。 缓解头痛、神经痛，改善疼痛引起的症状。
用法用量：
注意事项：
相关阅读
氯酚待因
美施康定
硫酸吗啡控释片
硫酸四氢帕马丁
硫酸吗啡控释片"
http://www.cnkang.com/yaopin/xy/zssj/zssj/200704/86796.html,"您的位置：
中华康网
>>
中枢兴奋药
>> 山豆碱
山豆碱
www.cnkang.com
2007-4-24  中华康网
药物别名： 山豆根总碱
英文名称：
说　　明： 注射液：10mg。
功用作用： 用于慢性气管炎、哮喘、咽喉肿痛、关节痛等。
用法用量： 每次肌注2ml，1日2次。
注意事项：
相关阅读
氯酚待因
美施康定
硫酸吗啡控释片
硫酸四氢帕马丁
硫酸吗啡控释片"
