中药名,药用部位,药材性状,性味归经,功效与作用,临床应用,药理研究,主要成分|化学成分,使用禁忌,药方
['半夏'],['天南星科植物半夏Pinellia ternata (Thunb.) Breit.的块茎。'],['类球形，有的稍偏斜，直径0.8～1.5厘米。表面白色或浅黄色，顶端中心有凹陷的茎痕，周围密布棕色凹点状的根痕；下端钝圆，较光滑。质坚实，断面白色，富粉性。气微，味辛辣、麻舌而刺喉。'],['性温，味辛，有毒。归脾经、胃经、肺经。'],['燥湿化痰、降逆止呕、消痞散结。属化痰止咳平喘药下属分类的温化寒痰药。'],['内服用量3～9克；或入丸、散；外用研末调敷。用治湿痰冷饮、呕吐、反胃、咳喘痰多、胸膈胀满、痰厥头痛、头晕不眠等。'],['具有镇吐、催吐、镇咳、祛痰、抗癌、抗生育、抗早孕、抗心律失常、抗实验性溃疡、抗矽肺、促使外周淋巴细胞分裂等作用。'],['】含挥发油，内含3-乙酰氨基-5-甲基异唑等60多种成分及16种氨基酸和多种无机元素。其中，所含的草酸钙针晶为半夏的刺激性成分之一，经炮制后，晶形发生变化，含量急剧下降，刺激性明显减弱。另含琥珀酸、丁基乙烯基醚、苯甲醛、半夏蛋白、姜辣醇、胰蛋白酶抑制剂等。'],['阴虚燥咳、津伤口渴、血证及燥痰者禁服，孕妇慎服。不宜与川乌、制川乌、草乌、制草乌、附子同用，生品内服宜慎。'],['①治湿痰喘急，止心痛：半夏不拘多少，香油炒，为末，粥丸梧桐子大。每服三五十丸，姜汤下。(《丹溪心法》)②治诸呕吐，谷不得下者：半夏一升，生姜240克。上二味，以水七升，煮取一升半，分温再服。(《金匮要略》小半夏汤)③治头痛：半夏(汤洗七遍)、白僵蚕各15克，全蝎一个。上同为细末，以绿豆粉调贴于太阳穴上，干即易之。(《叶氏录验方》抽风膏)④下乳方：半夏(炮)三粒。为末，酒调服，即有乳。(《鲁府禁方》)⑤治蝎螫毒：用半夏、白矾等分为末，以醋和，敷伤处。(《景岳全书》)最近更新时间：2022-08-03']
['鱼胆草'],['为龙胆科獐牙菜属川东獐牙菜Swertia davidi Franch.的全草。'],['鱼胆草呈黄绿色。根纤细少分枝，根茎略呈圆柱形。茎纤细圆形略呈四棱形，多分枝，尤以基部为多，光滑无毛。单叶对生，近无柄；多皱缩。完整叶片线形或线状披针形，长1～4厘米，宽1～3毫米，先端尖，全缘，略反卷。有时可见残留花序或花。气微，味苦。'],['性凉，味苦。归肺经、肝经、胆经。'],['清热泻火，解毒利湿。属清热药下分类的清热泻火药。'],['煎汤内服，用量3～9克，或研末冲服。外用适量，捣敷。主治急性结膜炎，急性咽喉炎，扁桃体炎，胆囊炎，胃肠炎，细菌性痢疾，泌尿道感染、湿热黄疸，肺热咳嗽，带状疱疹，疥癣疮毒。'],['鱼胆草煎剂对白色葡萄球菌、鲍氏痢疾杆菌、福氏痢疾杆菌、志贺痢疾杆菌、伤寒及副伤寒杆菌、不凝集弧菌等有抑制作用，临床治疗菌痢有明显疗效。鱼胆草用95%乙醇提取物给小鼠灌服，对四氯化碳(CCI₄)所致小鼠肝损伤有明显保护作用，可使丙氨酸氨基转移酶( ALT)明显降低，从中分得之熊果酸能明显降低CCl₄所致小鼠ALT升高，表明其是保肝有效成分之一。'],['鱼胆草主含黄酮类，环烯醚萜类、三萜类化合物等，以獐牙菜苦苷、龙胆苦苷、熊果酸、齐墩果酸为其代表成分。'],['尚不明确。'],['1.治肺炎：鱼胆草10克，栀子12克，黄芩9克，水煎服。(《湖北中草药志》)2.治带状疱疹：水黄连适量，捣烂，搽患处。(《湖北中草药志》)3.治头痛，胃痛：鱼胆草研粉。日服3次，每次0.3～1克，温开水送服。 (《湖北中草药志》)最近更新时间：2022-07-28']
['路路通'],['金缕梅科植物枫香Liquidambar formosana Hance.的成熟果序。'],['聚花果，由多数小蒴果集合而成，球形，直径2～3厘米。基部有总果梗。表面灰棕色或棕褐色，有多数尖刺及喙状小钝刺，长0.5~1厘米，常折断，小蒴果顶部开裂，呈蜂窝状小孔。体轻，质硬，不易破开。气微，味淡。'],['性平，味苦。归肝经、肾经。'],['祛风活络，利水通经。属祛风湿药下属分类的祛风湿强筋骨药。'],['用量5～9克，煎服。用治关节痹痛、麻木拘挛、水肿胀满、乳少经闭。'],['抗炎；保肝。药理实验表明，路路通有明显促进大鼠“甲醛化”关节炎肿胀消退和治疗蛋清性关节炎的功效与作用。'],['路路通含挥发油、黄酮类、酚类、有机酸及糖类。此外，尚含齐墩果酮酸甲酯、3-表齐墩果酸甲酯、3-表齐墩果酸甲酯，挥发油中含有β-松油烯、β-蒎烯、柠檬烯、α-松油烯等成分。另含熊果酸、28-去甲齐墩果酮酸、苏合香素、齐墩果酸、氧化丁香烯、a-榄香烯、环氧苏合香素、路路通内酯等成分。'],['阴虚、月经过多及孕妇禁服。'],['①治癣：路路通10个(烧存性)，白砒0.15克。共末，香油搽。(《纲目拾遗》引《德胜堂方》)②治荨麻疹：路路通500克，煎浓汁。每日3次，每次18克。空心服。(《湖南药物志》)③治耳内流黄水：路路通15克。煎服。(《浙江民间草药》)④治过敏性鼻炎：路路通12克，苍耳子、防风各9克，辛夷、白芷各6克。水煎服。(《中药临床应用》)相关推荐文章：路路通的鉴别方法路路通总萜提取物路路通注射液最近更新时间：2021-12-12']
['党参'],['桔梗科植物党参Codonopsis pilosula(Franch.)Nannf.、素花党参Codonopsis pilosula Nannf.var.modesta(Nannf.)L.T.Shen或川党参Codonopsis tangshen Oliv.的干燥根。'],['圆柱形，末端较细，有的分枝，长10～45厘米， 径0.5～2厘米。表面灰黄色至黄棕色，根头部有多数疣状突起的茎痕和芽，习称“狮子盘头”，根头下部有环状横纹，全体有明显不规则的纵沟及散在横长皮孔；支根断落处有黑褐色胶状物，习称“豆豉尾”。质较软而结实，断面稍有裂隙，皮部黄白色，木部淡黄色。气香特异，味甜。'],['性平，味甘。归脾经、肺经。'],['补中益气、健脾益肺。属补虚药下属分类的补气药。'],['用量9～30克，煎服；或熬膏、入丸、散。生津、养血宜生用；补脾益肺宜炙用。用治脾肺虚弱、气短心悸、食少便溏、虚喘咳嗽、内热消渴。'],['增强机体应激能力、免疫功能，延缓衰老，抗溃疡，能使离体豚鼠和兔肠紧张性升高，收缩加强，并能拮抗5-羟色胺引起的肠挛缩，但对乙酰胆碱引起的无明显作用；能显著减少小鼠自发活动，延长戊巴比妥钠或环己巴比妥的睡眠时间；能增进或改善小鼠记忆的获得、记忆巩固和樟柳碱引起的记忆获得障碍；可使家兔红细胞数及血红蛋白量增加，白细胞总数减少。还有抗肿瘤、升高血糖和抑菌作用等。党参水煎液灌胃，使小鼠对钴-γ射线有一定保护作用。多糖对实验动物应激性溃疡等多种溃疡均有明显的对抗作用。党参注射液有抗心肌缺血、缺氧的功效与作用。'],['党参含挥发油、黄芩素葡萄糖苷、微量生物碱、氨基酸、多糖及皂苷，并含有丁香苷、正己基-β-D-吡喃葡萄糖苷、蒲公英赛醇、无羁萜等成分。'],['实证、热证禁服；正虚邪实证，不宜单独应用，不宜与黎芦同用。'],['①清肺气，补元气，开声音，助筋力：党参(软甜者，切片)一斤，沙参(切片)半斤，桂圆肉四两。水煎浓汁，滴水成珠，用瓷器盛贮。每用一酒杯，空心滚水冲服，冲入煎药亦可。(《得配本草》上党参膏)②治小儿自汗症：每日用党参30克，黄芪20克。水煎成50毫升，分3次服，1岁以内减半。[《江苏中医》1988，(9)：25]③治服寒凉峻剂，以致损伤脾胃，口舌生疮：党参(焙)、黄芪(炙)各6克，茯苓3克，甘草(生)1.5克，白芍2.1克。白水煎，温服。(《喉科紫珍集》参芪安胃散)④治小儿口疮：党参30克，黄柏15克。共为细末，吹撒患处。(《青海省中医验方汇编》)⑤治脱肛：党参30克，升麻9克，甘草6克。水煎2次，早晚各1次。(《全国中草药汇编》)相关推荐文章：党参的鉴别方法党参种植技术与栽培管理党参炮制方法与标准党参酒党参水提物党参的传说故事党参膏党参的美容功效及方法党参的养生保健作用与方法最近更新时间：2021-12-12']
['胆木'],['为茜草科植物胆木Nauclea officinalis Pierre. ex Pitard的枝、树皮。'],['多劈成不规则的片、块，浅黄色或棕黄色，有的残留皮部，外皮灰绿色或者棕绿色，粗糙，具多数点状皮孔，较疏松，易剥离。横切面皮部棕褐色，木部黄色或棕黄色。质坚硬，气微，味苦。'],['性寒，味苦。归肺经、大肠经。'],['清热解毒，消肿止痛。属清热药下分类的清热解毒药。'],['煎汤内服，用量15～30克。外用适量，煎水洗。用治乳蛾，痢疾，热淋，下肢溃疡，疖肿脓疡，湿疹。'],['从胆木茎中分离得到的乌檀醛碱经抑菌试验表明有抑菌作用，乌檀醛碱在100μg/ml以上对金黄色葡萄球菌、蜡样芽胞杆菌有明显抑制作用。胆木浸膏片对冰醋酸所致的小鼠腹部毛，细血管通透性增加和二甲苯所致的小鼠耳肿胀具有非常显著的抑制作用，并显著抑制大鼠蛋清性足跖肿胀形成和棉球性慢性肉芽组织增生，对伤寒V₁多糖菌苗所致的家兔双高峰体温升高有解热功效与作用。'],['胆木茎中主要含生物碱类和生物碱苷类，其中生物碱有：乌檀费新碱，乌檀费丁碱，乌檀福林碱，1-乙酰基咔啉，乌檀费林碱和乌檀醛碱。生物碱苷有胆木碱庚，胆木碱辛和长春花苷内酰胺。另外含有奎诺酸，β-谷甾醇，香草酸。'],['尚不明确。'],['1.治钩端螺旋体病：①胆木注射液(每1毫升含胆木的乙醇提取物3克)，每8小时肌内注射1次，每次2～3毫升，用至体温正常后2～3天。有出血倾向者加紫珠草30克，水煎，每日分3次服。②胆木、大青叶、地胆草、紫珠草各60～90克(小儿酌减)，加水3碗，煎成1碗，分3次口服。在口服合剂的同时可加用胆木注射液。(《全国中草药汇编》)2.上呼吸道感染：胆木注射液，每1毫升相当于生药1克，每次肌注2毫升，每日1次。(《全国中草药汇编》)最近更新时间：2021-12-10']
['山姜'],['为姜科植物山姜Alpinia japonica( Thunb.) Miq.的干燥根茎。'],['本品呈圆柱形，有分枝，长5～20厘米，直径0.3～1.2厘米。表面棕色或红棕色，有细密的纵皱纹及灰棕色的细密环节，被有鳞皮状叶鞘，节上有细长须根及圆形的根痕。分枝顶端有茎痕或芽痕。质柔韧，不易折断。断面黄白色或灰白色，纤维性较强，有明显的粉性，圆形内皮层环纹明显，可见细小的孔隙及筋脉点。气香，味辛辣。'],['性温，味辛。归肺经、胃经。'],['温中，散寒，祛风，活血。属温里药。'],['内服：煎汤，用量5～10克。外用适量，捣敷或煎水洗。用于脘腹冷痛，风湿筋骨疼痛，劳伤吐血，跌损瘀滞，月经不调。'],['山姜小剂量对豚鼠小肠无影响，大剂量呈抑制作用，和山姜对乙酰胆碱和氯化钡引起的大鼠肠管紧张性、强直性收缩均有部分拮抗作用。山姜水煎剂灌胃对幽门结扎型、应激型及利血平型大鼠实验性胃溃疡均有不同程度的抑制作用，但对吲哚美辛(消炎痛)型胃溃疡作用不明显。体外试验，山姜煎剂对结肠炎耶尔森菌和摩根变形杆菌的最低抑菌浓度(MIC)是1/160(抑菌力达中度)，最低杀菌浓度(MBC)是1/80(杀菌力为低度)，对福氏痢疾杆菌的抑、杀菌作用分别是1/40和1/10，属低度有效，对肠毒素型大肠杆菌均不表现抑、杀菌作用。'],['根茎挥发油：9(10)-佛术烯-11-醇，9-羟基山姜内酯二氢沉香呋喃，10-表γ-桉叶醇，3β，4β-环氧沉香呋喃，山姜烯酮，山姜萜醇，广藿香奥醇，汉山姜过氧萜酮，异汉山姜过氧萜酮，山姜内酯过氧化物，6-羟基山姜内酯，汉山姜环氧萜醇，山姜内酯，呋喃天竺葵酮A和B，α-沉香呋喃，4α-羟基二氢沉香呋喃，3α，4α-环氧沉香呋喃，β-桉叶醇，汉山姜过氧萜醇，6，9-愈创木二烯，10-表-5β-氢过氧基-β-桉叶醇，10-表-5α-氢过氧基-β-桉叶醇，4，10-表-5β-羟基二氢桉叶醇。'],['尚不明确。'],['1.治风湿筋骨痛：和山姜根500克，花椒子30克，五加皮150克。煎水洗。(《湖南药物志》)2.治胃痛：山姜根3～6克，乌药3～6克。研末。温开水送服。(《江西草药》)3.治外感咳嗽：和山姜根9克，桑白皮9克，茅草根9克，紫苏叶6克。水煎服。(《湖南药物志》)4.治跌打损伤：山姜根15克，大血藤根30克，茜草根15克，牛膝根9克，泽兰9克。白酒500克，浸3-7克。每服15～30克。(《江西草药》)5.治虚弱咳嗽：①九姜连9克，大鹅儿肠9克。炖肉吃。②九姜连粉末30克，核桃仁30克。加蜂糖60克，混匀蒸熟，制成龙眼大的丸子。含化吞服。(《贵阳民间药草》)最近更新时间：2021-12-06']
['藤黄'],['为藤黄科植物藤黄树Garcinia hanburii Hook.f.的干燥胶树脂。'],['呈圆筒状，中空，长10～20厘米，有时成短段状，直径3～5厘米，有时为不规则的块状物或碎块粒状。外表红黄色或橙黄色，具容器遗留的细纵纹理，常被绿黄色的粉霖质硬，易碎，碎面平滑，具膜样光泽及具角状纹理。气微，味辛辣。'],['性寒，味酸、涩。归胃经、大肠经。'],['消肿排脓，散瘀解毒，杀虫止痒。属拔毒生肌药。'],['0.03～0.06克，炮制后入丸剂。外用：适量，研末调敷、磨汁涂搽或熬膏涂敷。用于痈疽肿毒。跌扑损伤；外用治顽癣。'],['藤黄在体内和体外均有选择性抗癌功效与作用；通过对戊巴比妥钠阈下催眠剂量的影响，表明藤黄各有明显的镇静作用，醋酸扭体反应说明藤黄有明显的镇痛作用；藤黄乙醇提取物的水混悬液低浓度兴奋、高浓度抑制兔离体十二指肠平滑肌；藤黄0.04-0.16mg/ml在试管内对金黄色葡萄球菌、八叠球菌和枯草杆菌有抑制作用。'],['含藤黄素，已知结构的有α-藤黄素及β-藤黄素，另含藤黄酸、异藤黄酸，树汁亦含藤黄双黄酮。'],['本品毒性较大，内服少量，即能致泻。体质虚弱者禁服。如误服过量，则可引起头昏、呕吐、腹痛、泄泻，甚至致死，故多作外用，很少内服。'],['1.治一切无名肿毒：藤黄四两，白蜡八两，小磨麻油十二两。先将油煎熟，将成珠，入水不散，再加藤黄、白蜡搅匀，磁瓶收，面上仍以麻油养之，临用摊贴。(《不药良方》风气膏)2.治刀斧木石伤及汤火伤，竹木刺入肉，一切诸伤：真麻油一斤，藤黄八两，白蜡八两。先将油入铜锅，次将藤黄锤碎熬透，以麻布滤去渣，加入白蜡，至滴水成珠为度，贮磁罐。其膏夏老冬嫩为宜。敷之即能止疼、止血、收口。(《纲目拾遗》神效膏)最近更新时间：2021-12-01']
['肉豆蔻'],['肉豆蔻科植物肉豆蔻Myristica fragrans Houtt.的成熟种仁。'],['卵圆形或椭圆形。表面灰棕色或灰黄色，有时外被白粉(石灰粉末)。全体有浅色纵行沟纹及不规则网状沟纹。种脐位于宽端，呈浅色圆形突起，合点呈暗凹陷。种脊呈纵沟状，连接两端。质坚，断面显棕黄色相杂的大理石花纹，宽端可见干燥皱缩的胚，富油性。气香浓烈，味辛。'],['性温，味辛。归大肠经、胃经、脾经。'],['温中行气、涩肠止泻。属收涩药下分类的敛肺涩肠药。'],['用量3～9克，煎服。用治脾胃虚寒、久泻不止、脘腹胀痛、食少呕吐。肉豆蔻(去壳，为末)l两，生姜汁二合，白面2两。上三味，将姜汁和面做饼，裹肉豆蔻末煨令黄熟，研为细散。每服二钱七，空心米饮调下，日午再服。治水泻无度、肠鸣腹痛(《圣济总录》肉豆蔻散)。'],['肉豆蔻主要有止泻抗炎、抗血小板凝聚、抗癌、中枢镇静、抗菌等功效与作用。'],['肉豆蔻主含挥发油，主要活性成分肉豆蔻醚、黄樟醚。另含脂肪油、淀粉、没食子油酸等其他成分。'],['有小毒。凡使，勿令犯铜不能用金属物品存放，不宜用生品。'],['1.治脾胃虚弱，大便不实，饮食不思：破故纸(炒)四两，肉豆蔻(生用)二两，五味子二两，吴茱萸四两。上药为末。生姜四两切碎，红枣四十九枚，用水一碗煮姜、枣，去姜，水干，取枣肉和药丸，桐子大。每服五七十丸，空心盐汤下。(《内科摘要》四神丸)2.治小儿霍乱不止：肉豆蔻一分(去壳)，藿香半两。上件药捣粗罗为散。每服一钱，以水一小盏，煎至五分，去滓，不计时候温服。(《圣惠方》)最近更新时间：2021-11-24']
['山萸肉'],['山茱萸科植物山茱萸Cornus officinalis Sieb.et Zucc.的成熟果肉。'],['果肉呈不规则的片状或囊状，长1～1.5厘米，宽0.5～1.5厘米，厚约1毫米。表面紫红色至紫黑色，皱缩，有光泽。内表面不平滑，有少数纵向脉纹。顶端有的有圆形宿萼痕，基部有果柄痕。质柔润。气微，味酸、涩、微苦。'],['性微温，味酸、涩。归肝经、肾经。'],['补益肝肾、涩精固脱。属收涩药下属分类的固精缩尿止带药。'],['用量6～12克。用治眩晕耳鸣、腰膝酸疼、阳痿遗精、遗尿尿频、崩漏带下、大汗虚脱、内热消渴。'],['药理研究表明，山萸肉有增强机体免疫功能、抗炎、抗衰老、抑菌等功效与作用。此外，还证实有抑制血小板聚集及抗血栓形成的作用以及降血糖、血脂、强心、抗失血性休克等作用。'],['山萸肉含有单萜类、脂肪醛、脂肪烃，酸、酯等芳香族化合物，另含有苷类成分，如山茱萸苷、莫罗忍冬苷、7-O-甲基莫罗忍冬苷、獐牙菜苷、番木鳖苷以及鞣质类成分和苹果酸、酒石酸、没食子酸、维生素A。'],['命门火炽，肝阳上亢，及素有湿热，小便不利者禁服。'],['1.肾虚腰痛、阳痿遗精：山萸肉、补骨脂、菟丝子、金樱子各12克，当归9克，水煎服。2.自汗：山萸肉、白术各15克，生龙骨、生牡蛎各30克(先煎)，水煎服。3.老人尿频失禁：山萸肉9克，五味子4.5克，益智仁6克，水煎服最近更新时间：2021-11-21']
['萝'],['萝��科植物萝��Metaplexis japonica (Thunb.) Makino的干燥全草或根。'],['常单一或数股绞扭呈束状，长短不一。茎为长圆柱形，老茎略偏，稍扭曲，具分枝。直径达1.5厘米；表面灰白色或浅黄绿色，有纵纹及节；质柔韧或稍脆，折断面皮部强纤维性老茎木质部明显，常呈新月形至半月形，可见众多管孔，髓部中空。叶对生，多皱缩，展平后叶片呈卵状心形至长卵形，长4～10厘米，宽3～8厘米；顶端渐尖，基部心形，全缘或微波状，上面枯黄色或浅黄绿色，背面色较浅或呈粉黄色，具长柄。总状花序被灰白色短柔毛。�u��果长卵形或卵状披针形。种子顶端具一簇白色长绢毛。气微，味淡。'],['性平，味甘、辛。归脾经、肺经、肾经(《吉林省中药材标准第一册（2019年版）》)。'],['补精益气，通乳，解毒。属补虚药下属分类的补阳药。'],['内服：煎汤，15～60克。外用：鲜品适量，捣敷。主治虚损劳伤，阳痿，遗精白带，乳汁不足，丹毒，瘰疬，疔疮，蛇虫咬伤。'],['具有抗肿瘤、降血糖、降血脂、抗生育作用。'],['本品含酯型苷、苯甲酰热马酮、萝��苷元、异热马酮、肉珊瑚苷元、萝��米宁、二苯甲酰萝��醇、去酰萝��苷元、去酰牛皮消苷元、夜来香素、去羟基肉珊瑚苷元等。'],['老弱气虚者慎服，孕妇禁服。'],['①治阳痿：箩��根、淫羊藿根、仙茅根各9克。水煎服，每日1剂。（《江西草药》）②治痨伤：萝��根，炖鸡服。（《四川中药志》1960年版）③下乳：萝��9～15克，水煎服；炖肉服可用30～60克。（《民间常用草药汇编》）④治瘰疬：萝��根30克。水煎服，每日1剂。（《江西草药》）⑤治疣瘊，刺瘊，扁平疣：于患处周围用针挑破见血。点萝��茎藤白汁，待自干，一次即愈。（《吉林中草药》）最近更新时间：2021-11-19']
