药品名称,适应症,参考价
对乙酰氨基酚口服溶液,用于小儿普通感冒或流行性感冒...,￥10.5
布洛芬混悬液,用于儿童普通感冒或流行性感冒...,￥67.3
复方氯唑沙宗片,各种急性骨骼肌损伤。,￥13.1
复方对乙酰氨基酚片,用于普通感冒或流行性感冒引起...,￥12.7
复方氨酚烷胺片,用于缓解普通感冒或流行性感冒...,￥10.6
感冒清片,疏风解表，清热解毒。用于风热...,￥3.1
正骨水,活血祛瘀，舒筋活络，消肿止痛...,￥20
消痛贴膏,活血化瘀，消肿止痛。用于急慢...,￥46.3
连花清瘟胶囊,清瘟解毒，宣肺泄热。用于治疗...,￥15
感冒疏风片,辛温解表，宣肺和中。用于风寒...,￥18.2
西帕依固龈液,健齿固龈，清血止痛。用于牙周...,￥36.9
风油精,消炎、镇痛，清凉、止痒，驱风...,￥4.8
薏辛除湿止痛胶囊,散寒除湿，活血止痛。用于痹症...,￥1128.7
熊胆川贝口服液,清热化痰，止咳。用于痰热咳嗽...,￥22.5
复方感冒灵颗粒,辛凉解表，清热解毒。用于风热...,￥12
双蚁祛湿通络胶囊,补肝肾、益气血、活血通络、祛...,￥117.2
来氟米特片,(1)适用于成人类风湿关节炎，有...,￥119.3
复方醋酸甲羟孕酮胶囊,用于 40 岁以上患有更年期综合...,￥60
来氟米特片,适用于成人类风湿关节炎，有改...,￥51.7
口炎清颗粒,滋阴清热，解毒消肿。用于阴虚...,￥18.3
颈复康颗粒,活血通络，散风止痛。用于风湿...,￥25
骨刺消痛液,祛风通络，活血止痛。本品主要...,￥16.2
重感灵片,解表清热，消炎止痛。用于治疗...,￥6.5
盐酸多奈哌齐片,增进记忆，提高语言、行为能力...,￥32.8
洛索洛芬钠片,类风湿性关节炎、骨性关节炎、...,￥25.9
八宝惊风散,祛风化痰，退热镇惊。用于小儿...,￥11.5
云南白药,化瘀止血，活血止痛，解毒消肿...,￥66.7
开喉剑喷雾剂(儿童型),清热解毒，消肿止痛。用于急、...,￥24.6
脉血康胶囊,破血，逐瘀，通脉止痛。用于症...,￥27
瘀血痹片,活血化瘀，通络定痛。用于瘀血...,￥26.4
巴氯芬片,限于脊髓和大脑疾病或损伤引起...,￥43.9
三乙醇胺乳膏,放射治疗引发的继发性红斑。I...,￥222.7
对乙酰氨基酚口服混悬液,用于儿童普通感冒或流行性感冒...,￥18.2
复方氯唑沙宗片,本品适用于各种急性、慢性软组...,￥15
伤科灵喷雾剂,清热凉血，活血化瘀，消肿止痛...,￥30
壮骨药酒,祛风散寒，舒筋活络。用于风寒...,￥626.4
通络开痹片,祛风通络，活血散结。用于寒热...,￥39.7
骨痛灵酊,"温经散寒,祛风活血,通络止痛。...",
牛黄解毒片,清热解毒。用于火热内盛，咽喉...,￥6
云南白药气雾剂,活血散瘀，消肿止痛。用于跌打...,￥33.2
骨筋丸胶囊,活血化瘀，舒筋通络，祛风止痛...,￥21
甲硝唑口颊片,用于牙龈炎、牙周炎、冠周炎及...,￥14.9
黄连上清丸,散风清热，泻火止痛。用于风热...,￥10
雷公藤多苷片,祛风解毒、除湿消肿、舒筋通络...,￥23.8
消肿止痛酊,舒筋活络，消肿止痛。用于跌打...,￥26.4
养血荣筋丸,养血荣筋，祛风通络。用于跌打...,￥16.2
多磺酸粘多糖乳膏,浅表性静脉炎，静脉曲张性静脉...,￥74
复方氯唑沙宗胶囊,各种急性骨骼肌损伤。,￥8.8
对乙酰氨基酚片,用于普通感冒或流行性感冒引起...,￥5.3
苯巴比妥东莨菪碱片,用于防治乘车、船和飞机引起的...,￥9
布洛芬混悬液,本品为非甾体类抗炎药，有解热...,￥9.4
酚咖片,用于普通感冒或流行性感冒引起...,￥13.7
肝素钠乳膏,用于早期冻疮、皲裂、溃疡、湿...,￥13.8
复方七叶皂苷钠凝胶,炎症，退行性病变及创伤引致的...,￥24
对乙酰氨基酚缓释片,用于普通感冒或流行性感冒引起...,￥14.9
复方对乙酰氨基酚片(Ⅱ),用于普通感冒或流行性感冒引起...,￥10.2
云南白药膏,活血散瘀，消肿止痛，祛风除湿...,￥35
按摩软膏(按摩乳),活血化淤，和络止痛，用于运动...,￥28
根痛平颗粒,活血，通络，止痛。用于风...,￥74.5
跌打镇痛膏,活血止痛，散瘀消肿，祛风胜湿...,￥16
鸿茅药酒,祛风除湿、补气通络、舒筋活血...,￥585
丁硼乳膏,"有消炎止痛作用。用于急,慢性...",￥16.6
酚咖片,用于普通感冒或流行性感冒引起...,￥16.5
对乙酰氨基酚栓,用于儿童普通感冒或流行性感冒...,￥4.4
骨疏康颗粒,补肾益气，活血壮骨。主治肾虚...,￥62.9
云南白药气雾剂,活血散瘀，消肿止痛。用于跌打...,￥48.3
红药气雾剂,活血逐瘀、消肿止痛。用于跌打...,￥28.6
骨通贴膏,祛风散寒，活血通络，消肿止痛...,￥27.7
金乌骨通胶囊,苗医：维象样丢象，泱安档蒙，...,￥38.7
辣椒风湿膏,祛风散寒，舒筋活络，消肿止痛...,￥31
国公酒,散风祛湿，舒筋活络。用于风寒...,￥152.5
阿咖酚散,用于感冒或流感引起的发热、头...,￥11.5
盐酸氨基葡萄糖胶囊,镇痛类药品.用于缓解和预防关...,￥17.9
红药贴膏,祛瘀生新，活血止痛。用于跌打...,￥29
氯唑沙宗片,本品适用于各种急性、慢性软组...,￥4.2
牛黄上清胶囊,清热泻火，散风止痛。用于热毒...,￥20.7
除疤膏,软坚散结，活血消疤。用于因烧...,￥168.5
复方氨酚烷胺片,适用于缓解普通感冒及流行性感...,￥4
活血止痛膏,活血止痛，舒筋通络。用于筋骨...,￥26.2
千山活血膏,活血化瘀、消肿止痛、祛风除湿...,￥62
萘普生缓释胶囊,适用于缓解轻度至中度疼痛。用...,￥38.5
塞隆风湿胶囊,祛风散寒除湿，通络止痛，补益...,￥122.5
活络油,舒筋活络，祛风散瘀。用于风湿...,￥2
伤湿止痛膏,祛风湿，活血止痛，用于风湿性...,￥4
风湿液,补养肝肾，养血通络，祛风除湿...,￥50.8
清眩丸,散风清热。用于风热头晕目眩，...,￥9.1
关节止痛膏,祛风除湿，活血止痛。用于风寒...,￥9.2
活络止痛丸,活血舒筋，驱风除湿。用于风湿...,￥352
抗菌消炎胶囊,清热解表，泻火解毒。用于外感...,￥8.4
烧伤肤康液,清热解毒，收敛止痛，保护创面...,￥20
骨友灵搽剂,活血化瘀，消肿止痛。用于骨质...,￥28.5
黑骨藤追风活络胶囊,苗医：中医：祛风除湿，通络止...,￥31.6
复方氨酚烷胺胶囊,适用于缓解普通感冒及流行性感...,￥8.2
小儿氨酚黄那敏颗粒,用于缓解儿童普通感冒及流行性...,￥5
益肾补骨液,滋补肝肾，强筋壮骨。用于肝肾...,￥47.4
透骨灵橡胶膏,消肿，止痛。用于骨质增生，风...,￥87.5
布洛芬糖浆,用于感冒或流感引起的发热、头...,￥14.4
东方活血膏,祛风散寒，活血化瘀，舒筋活络...,￥26.9
玉合草含片,清热解毒，消肿止痛，生津止渴...,
双料喉风散,适应症：清热解毒，消肿利咽。...,￥11.8
舒筋风湿酒,祛风除湿，舒筋活络。用于风湿...,￥37.7
复方金银花颗粒,清热解毒，凉血消肿。用于风热...,￥10
