药材名称,药材类别,药材基原,药材别名,性味归经,功能主治
阿尔泰扭藿香,中药,为唇形科植物阿尔泰扭藿香的全草。Lophanthus krylovii Lipsky。6-8月采收，晒干。,参考原文,味辛；性微温。,化湿消暑；行气和中。主夏月感寒饮冷；腹痛吐泻
阿尔泰瑞香,中药,为瑞香科阿尔泰瑞香的根及全株。Daphne altaica Pall。夏季采挖全株，晒干。,尖瓣瑞香（《中国高等植物图鉴》）。,辛；温；有毒。归肺；心；胃经,疏风散寒祛痰止咳；行气止痛。主风寒感冒；咳嗽痰多；气滞胃痛
阿尔泰紫菀,中药,为菊科植物阿尔泰狗娃花的根、花或全草。Heteropappus altaicus (Willd.) Novopokr. [Aster altaicus Willd]。根：春、秋季采挖，去地上部分，洗净晒干，切段；花及全草：夏、秋开花时采收，阴干或鲜用。,燥原蒿;铁杆蒿,味微苦；性凉。,清热降火；排脓止咳。主热病；肝胆火旺；肺脓疡；咳吐脓血；膀胱炎；疱疹疮疖
矮醋栗,中药,为虎耳草科植物矮茶蔍的果实。,黄果矮茶藨。,苦；平。归肺、膀胱二经,祛风清热。主感冒发热，咳嗽。
艾虎,中药,为鼬科动物艾鼬的肉。Mustela eversmanni Lesson。捕杀后，剥皮，剖腹，除去内脏和骨骼，取肉烘干。,地狗;艾鼬;两头乌;臭狗子,味甘；性温。归心；肝经,祛风；镇痉；活血通络。主癫痫；瘫痪；半身不遂
艾虎脑,中药,为鼬科动物艾虎的脑髓。Mustela eversmanni Lesson。捕捉后杀死，开颅取出脑，晾干。,参考原文,味甘；咸；性微寒。归心经,解毒。主食物中毒；药物中毒
矮脚苦蒿,中药,为菊科植物熊胆草的全草。Conyza blinii Levl.[C. pinnatifida auct. Non Roxb.; C. dunniana Levl.]。秋季采收，鲜用或切段晒干。,鱼胆草;苦艾;劲直假蓬;金龙胆草;金蒿枝;刘寄奴;细苦蒿;毛苦蒿;油蒿;龙胆草,味苦；性平。,清热解毒；泻火止血。主慢性气管炎；扁桃体炎；咽喉炎；口腔炎；肾炎；黄疸型肝炎；眼结晶膜炎；中耳炎；疮疡；牙痛；鼻衄；便血；崩漏；外伤出血
矮脚龙胆,中药,为龙胆科植物柔毛龙胆的全草。Gentiana pubigera Marq。夏季采收，洗净，晒干。,小龙胆草,苦；性寒。,清热降火。主目赤肿痛；牙痛；咽喉肿痛；疔疮疖肿
矮脚罗伞,中药,为紫金牛科植物雪下红的茎叶或全草。Ardisia villosa Roxb。秋、冬季来挖，洗净，鲜用或晒干。,小罗伞;矮茶风;毛茎紫金牛;九节龙;地茶;猴接骨;毛罗伞;土丹皮;石狮子;铁羊伞;雪下红,苦；辛；性平。,祛风湿；活血止痛。主风湿痹痛；咳嗽吐血；寒气腹痛；跌打损伤；痈疮肿痛
矮脚南,中药,为楝科植物单叶地黄连的全株。Munronia unifoliolata Oliv。全年均可采，洗净，鲜用或晒干。,矮叶南;矮子南;小白花草;矮陀陀。,微苦；涩；凉。,清热解毒；活血止痛。主黄疸型肝炎；疮痈；跌打损伤；胃痛
埃蕾,中药,为龙胆科植物百金花的带花全草。Centaurium pulchellum Druce var.al-taicum （Griseb．）Kitag.et Hara[Erythraea ramosissima var.al-taica Griseb.;Centaurium meyeri（Bunge）Druce］。开花时采时，洗净，晒干。,参考原文,苦；性寒。归肝；胃经,清热解毒。主肝炎；胆囊炎；头痛发热；牙痛；扁桃体炎
矮柳穿鱼,中药,为玄参科植物多枝柳穿鱼的全草。Linaria buriatica Tarcz.et Benth。夏、秋季采收，切段，晒干。,参考原文,味苦；性寒。,清热利湿；解毒消肿。主湿热黄疸，丹毒；咽喉肿痛；口舌生疮
艾纳香,中药;傣药;苗药,为菊科植物艾纳香的全草。Blumea balsamifera (L.) DC. [Conyza balsamifera L.; Pluchea balsamifera (L.) Less.]。于12月采收，先把落叶集中，再把带叶的地上茎割上，鲜用或晒干；或运到加工厂用蒸馏法蒸得艾粉。,大风艾;牛耳艾;再风艾;大骨风;大黄草;冰片艾;冰片叶;真金草;土冰片;艾粉;叶下香;山大艾;埋科默朗;娜龙（傣药名）;bindplanb冰片（贵州黔南）大风艾;冰片;档窝凯（苗药名）,味辛；微苦；性温。,祛风除湿；温中止泻；活血解毒。主风寒感冒；头风头痛；风湿痹痛；寒湿泻痢；寸白虫病；毒蛇咬伤；跌打伤痛；癣疮
