名称,简介,药性,功效,适应症
薄荷,别名 苏薄荷、水薄荷、鱼香草、人丹草,辛，凉。入肺经、肝经。,具有疏散风热、清利头目、利咽、透疹、疏肝解郁之功效。现代医学常将其用于治疗风热感冒、头痛、咽喉痛、口舌生疮、风疹、麻疹、胸腹胀闷和抗早孕等。另外，薄荷还具有消炎止痛作用。,宜：外感风热，头痛目赤，咽喉肿痛者宜食;口疮口臭，牙龈肿痛，以及风热瘙痒者宜食。忌：阴虚血燥体质，或汗多表虚者忌食;脾胃虚寒，腹泻便溏者切忌多食久…
牛蒡子,别名 恶实、鼠粘子、黍粘子、大力子,味辛;苦;性寒。归肺;胃经。,具有疏散风热，宣肺透疹，利咽散结，解毒消肿之功效。属于解表药中发散风热药。现代研究，牛蒡子还可用于防治糖尿病肾病;牛蒡果实含牛蒡甙经水解生成的牛蒡甙元具有抗癌活性。,风热感冒、温病初起;风热或肺热咳嗽、咯痰不畅;咽喉肿痛;斑疹不透;麻疹初期，疹出不畅及风疹瘙痒;疮疡肿毒及痄腮等。生用可润肠通便，热毒咽喉红肿疼痛，兼有热结便秘尤宜…
蝉蜕,又名 蝉退、蝉衣、虫蜕、蝉壳、蚱蟟皮,味甘、辛、微咸，性凉;归肺、肝经;,具有疏散风热，透疹利咽，明目退翳，祛风止痉的功效用于风热感冒，咽痛，音哑，麻疹不透，风疹瘙痒，目赤翳障，惊风抽搐，破伤风。散风热，宣肺，定痉。治外感风热，咳嗽音哑，麻疹透发不畅，风疹瘙痒，小儿惊痫，目赤，翳障，疔疮肿毒。,用于外感风热、发热恶寒、咳嗽，以及风疹、皮肤瘙痒等症。用于麻疹透发不畅。用于咽喉肿痛以及音哑等症…
桑叶,别名 家桑、荆桑、桑椹树、黄桑,味苦、甘、性寒。归肺、肝经。,疏散风热，清肺润燥，平肝明目，凉血止血。主治风热感冒或风温初起，发热头痛，汗出恶风，咳嗽胸痛;或肺燥干咳无痰;咽干口渴;风热及肝阳上扰;目赤肿痛。用于风热感冒。,桑叶善于散风热而泄肺热，对外感风热、头痛、咳嗽等，常与菊花、银花、薄荷、前胡、桔梗等配合应用。桑叶可用于风热引起的目赤羞明，且可清肝火，可与菊花、决明子等配合应用…
菊花,别名 寿客、金英、黄华、秋菊、陶菊,味甘苦，微寒，散风，入肺、脾、肝、肾经,具有清热，明目，疏风，解毒功效，治头痛眩晕，目赤肿痛，心胸烦热、疗疮肿毒诸症。各种菊花功效相似，但在应用上又各有擅长：亳菊以疏风散热、解暑明目见长;滁菊偏于祛风润燥;贡菊清香可口，解暑除烦，清肝明目，更多用于饮料。怀菊散风清热以平肝明目擅长;杭菊清醇甘美，以做饮料为主，故名茶菊。,不适当的服用可能会引起拉肚子、呕吐等症状…
蔓荆子,别名：蔓荆实、荆子、万荆子、蔓青子、蔓荆、白背木耳、小刀豆藤、白背风、白背草。,味辛、苦，性微寒。,外感头痛，偏正头风，昏晕目暗，赤眼多泪，目睛内痛，齿龈肿痛，湿痹拘挛，疏散风热，清利头目，除湿处关节。,用于感受风热引起的头痛，临床常与防风、菊花、石膏等配伍应用；对于头风头痛病症，本品又可与藁本、川芎等配伍应用。治风邪所致的目赤肿痛、头目昏暗，常与菊花、川芎、决明子等配伍应用…
天山雪菊,雪菊又名两色金鸡菊，是药食两用植物，含有多种药理成分。,味甘，性凉。,疏风清热、健脑明目、解毒消肿。,对肺炎、鼻炎、支气管炎、咽喉肿痛等有明显疗效。…
柴胡,又名 地熏、茈胡、山菜、茹草、柴草,性微寒、味苦、辛、归肝经、肺经、脾经,清虚热中药，透表泄热，疏肝解郁，升举阳气。具有清热解表、和解少阳，疏肝解郁，升阳举陷的功效;主治：感冒发热、寒热往来、疟疾，肝郁气滞，胸肋胀痛，脱肛，子宫脱落，月经不调。肝阳上亢，肝风内动，阴虚火旺及气机上逆者忌用或慎用。,煎服，3～10克。解表退热用量宜稍重，且宜用生品。疏肝解郁宜醋炙，升阳举陷可生用或醋炙，其用量均宜稍轻…
紫苏叶,别名 苏叶 赤苏 紫苏 红紫苏,辛，微温，无毒。入脾经、肺经,发表，散寒，理气，和营。治感冒风寒，恶寒发热，咳嗽，头痛无汗，气喘，胸腹胀满，呕恶腹泻，咽中梗阻，妊娠恶阻，胎动不安。并能解鱼蟹毒，痈疮蛇毒辣。,我国少数地区也有用它作蔬菜或入茶，种子也称苏子，有镇咳平喘、社痰的功能。紫苏全草可蒸馏紫苏油，种子出的油也称苏子油，长期食用苏子油对治疗冠心病及高血脂有明显疗效…
升麻,"本品为毛茛科植物大三叶升麻、兴安升麻或升麻 
的干燥根茎。秋季采挖，除去泥沙，晒至须根干时，燎去或除去须根，晒干。别名莽牛卡架、龙眼根、窟窿牙根",辛、微甘，微寒。,发表透疹，清热解毒，升举阳气。用于风热头痛，齿痛，口疮，咽喉肿痛，麻疹不透，阳毒发斑;脱肛，子宫脱垂。,本品发表力弱，一般表症较少应用，常与葛根配合应用。本品清热解毒以治胃火亢盛的牙龈浮烂、口舌生疮及咽喉肿痛，临床常与石膏、黄连等配伍，升麻又可配银花、连窍、赤芍、当归等同用。上盛下虚，阴虚火旺及麻疹已透者忌服…
